【实时弹幕】,1656650360537,2022-07-01 12:39:20,jd_5f648757f256b,购物袋领大额券
【用户正在购买】,1656650362978,2022-07-01 12:39:22,Kdashnight,94号
【用户正在购买】,1656650374750,2022-07-01 12:39:34,ahwwbr21,103号
【主播结束讲解】,1656650380170,2022-07-01 12:39:40,主播,76
【用户正在购买】,1656650386226,2022-07-01 12:39:46,jd_DmMFgIgoENLb,127号
【实时弹幕】,1656650391892,2022-07-01 12:39:51,jd_bSQMYLIMWkUc,购物袋领大额券
【用户关注】,1656650392011,2022-07-01 12:39:52,jd_bSQMYLIMWkUc
【主播正在讲解】,1656650404002,2022-07-01 12:40:04,主播,75号
【主播弹幕】,1656650404020,2022-07-01 12:40:04,主播,正在讲解75号宝贝
【主播开始讲解】,1656650404064,2022-07-01 12:40:04,主播,75
【用户正在购买】,1656650429396,2022-07-01 12:40:29,戏子看戏,3号
【主播结束讲解】,1656650465793,2022-07-01 12:41:05,主播,75
【用户正在购买】,1656650472580,2022-07-01 12:41:12,戏子看戏,141号
【主播正在讲解】,1656650478782,2022-07-01 12:41:18,主播,74号
【主播弹幕】,1656650478797,2022-07-01 12:41:18,主播,正在讲解74号宝贝
【主播开始讲解】,1656650478861,2022-07-01 12:41:18,主播,74
【用户正在购买】,1656650527377,2022-07-01 12:42:07,jd_155091fuo,131号
【主播结束讲解】,1656650542891,2022-07-01 12:42:22,主播,74
【实时弹幕】,1656650546352,2022-07-01 12:42:26,柯南波鲁克,购物袋领大额券
【实时弹幕】,1656650549494,2022-07-01 12:42:29,jd_137993rpy,购物袋领大额券
【用户正在购买】,1656650549504,2022-07-01 12:42:29,柯南波鲁克,132号
【用户正在购买】,1656650559003,2022-07-01 12:42:39,jd_40e9dd50b6393,56号
【用户正在购买】,1656650572961,2022-07-01 12:42:52,wdEMPVYiSWBLWw,141号
【实时弹幕】,1656650582457,2022-07-01 12:43:02,jd_187311evo,购物袋领大额券
【用户正在购买】,1656650583700,2022-07-01 12:43:03,戏子看戏,41号
【主播正在讲解】,1656650589745,2022-07-01 12:43:09,主播,73号
【主播弹幕】,1656650589764,2022-07-01 12:43:09,主播,正在讲解73号宝贝
【主播开始讲解】,1656650589776,2022-07-01 12:43:09,主播,73
【用户正在购买】,1656650595808,2022-07-01 12:43:15,柯南波鲁克,132号
【实时弹幕】,1656650621955,2022-07-01 12:43:41,lixiaoshen_2010,购物袋领大额券
【用户正在购买】,1656650635651,2022-07-01 12:43:55,戏子看戏,16号
【实时弹幕】,1656650637969,2022-07-01 12:43:57,zhouyugift_jd,购物袋领大额券
【主播结束讲解】,1656650654780,2022-07-01 12:44:14,主播,73
【实时弹幕】,1656650657431,2022-07-01 12:44:17,jd_138236uar,购物袋领大额券
【实时弹幕】,1656650689991,2022-07-01 12:44:49,快乐宝贝开心淘吧,购物袋领大额券
【主播正在讲解】,1656650709188,2022-07-01 12:45:09,主播,72号
【主播弹幕】,1656650709207,2022-07-01 12:45:09,主播,正在讲解72号宝贝
【主播开始讲解】,1656650709238,2022-07-01 12:45:09,主播,72
【实时弹幕】,1656650718204,2022-07-01 12:45:18,shorthandfu,购物袋领大额券
【实时弹幕】,1656650719431,2022-07-01 12:45:19,xianshaolan-,购物袋领大额券
【用户关注】,1656650719574,2022-07-01 12:45:19,xianshaolan-
【用户正在购买】,1656650721426,2022-07-01 12:45:21,JD我去啊,72号
【用户正在购买】,1656650724445,2022-07-01 12:45:24,JD我去啊,72号
【用户关注】,1656650726157,2022-07-01 12:45:26,jd_40784622e940e
【实时弹幕】,1656650732530,2022-07-01 12:45:32,398179734,购物袋领大额券
【用户正在购买】,1656650761470,2022-07-01 12:46:01,jd_DmMFgIgoENLb,136号
【用户正在购买】,1656650767898,2022-07-01 12:46:07,jd_6605db76750a6,10号
【主播结束讲解】,1656650772400,2022-07-01 12:46:12,主播,72
【用户正在购买】,1656650784119,2022-07-01 12:46:24,jd_4224d6dfca3a2,6号
【用户正在购买】,1656650785415,2022-07-01 12:46:25,jd_135100ihu,129号
【用户正在购买】,1656650791247,2022-07-01 12:46:31,jd_155743awa,22号
