【实时弹幕】,1657866365576,2022-07-15 14:26:05,萝卜嘎嘣儿脆,😂
【实时弹幕】,1657866370187,2022-07-15 14:26:10,jd_393325667,20点抢1元秒
【实时弹幕】,1657866372461,2022-07-15 14:26:12,jd137927ang,20点抢1元秒
【用户关注】,1657866372724,2022-07-15 14:26:12,jd137927ang
【主播推送商品】,1657866373408,2022-07-15 14:26:13,主播,138号
【实时弹幕】,1657866381807,2022-07-15 14:26:21,jd_zjRCXpSWDcoW,20点抢1元秒
【主播推送商品】,1657866406785,2022-07-15 14:26:46,主播,138号
【用户加入购物车】,1657866423354,2022-07-15 14:27:03,阿翠爱唱歌,135号
【实时弹幕】,1657866429522,2022-07-15 14:27:09,jd_eMchmgtevuHi,20点抢1元秒
【用户关注】,1657866429711,2022-07-15 14:27:09,jd_eMchmgtevuHi
【主播推送商品】,1657866430568,2022-07-15 14:27:10,主播,138号
【实时弹幕】,1657866430867,2022-07-15 14:27:10,yue魅影,20点抢1元秒
【主播推送商品】,1657866437623,2022-07-15 14:27:17,主播,138号
【实时弹幕】,1657866443369,2022-07-15 14:27:23,秋郎,20点抢1元秒
【实时弹幕】,1657866447534,2022-07-15 14:27:27,beijingtrz1,20点抢1元秒
【用户关注】,1657866447603,2022-07-15 14:27:27,beijingtrz1
【主播推送商品】,1657866457098,2022-07-15 14:27:37,主播,138号
【主播推送商品】,1657866469825,2022-07-15 14:27:49,主播,138号
【用户正在购买】,1657866470374,2022-07-15 14:27:50,瞿其红738,138号
【实时弹幕】,1657866478892,2022-07-15 14:27:58,for1413,20点抢1元秒
【实时弹幕】,1657866489441,2022-07-15 14:28:09,艾伦2号,20点抢1元秒
【实时弹幕】,1657866493963,2022-07-15 14:28:13,小花猫1221,20点抢1元秒
【实时弹幕】,1657866510657,2022-07-15 14:28:30,jd_64700006d1f51,20点抢1元秒
【实时弹幕】,1657866513784,2022-07-15 14:28:33,谭梁谭,20点抢1元秒
【主播推送商品】,1657866516482,2022-07-15 14:28:36,主播,138号
【主播推送商品】,1657866530903,2022-07-15 14:28:50,主播,138号
【实时弹幕】,1657866530985,2022-07-15 14:28:50,jd138179opd,20点抢1元秒
【实时弹幕】,1657866536563,2022-07-15 14:28:56,jd_51d9e86495673,20点抢1元秒
【用户正在购买】,1657866537204,2022-07-15 14:28:57,yz0903,109号
【实时弹幕】,1657866542467,2022-07-15 14:29:02,u_7wzmaqngq5b6,20点抢1元秒
【主播推送商品】,1657866544402,2022-07-15 14:29:04,主播,127号
【实时弹幕】,1657866569888,2022-07-15 14:29:29,u_uy2wunihfbgv,20点抢1元秒
