【用户正在购买】,1656650360433,2022-07-01 12:39:20,jd_152276hxw,139号
【用户正在购买】,1656650368250,2022-07-01 12:39:28,hanshao6560,55号
【用户正在购买】,1656650371612,2022-07-01 12:39:31,hanshao6560,55号
【实时弹幕】,1656650373782,2022-07-01 12:39:33,jd_137993rpy,20点抢1元秒
【实时弹幕】,1656650375751,2022-07-01 12:39:35,許佳怡,20点抢1元秒
【主播推送商品】,1656650376491,2022-07-01 12:39:36,主播,34号
【实时弹幕】,1656650377484,2022-07-01 12:39:37,jddefeng,20点抢1元秒
【实时弹幕】,1656650377572,2022-07-01 12:39:37,影是我,20点抢1元秒
【实时弹幕】,1656650378133,2022-07-01 12:39:38,jd_tfkHBTbKNtFE,20点抢1元秒
【实时弹幕】,1656650385945,2022-07-01 12:39:45,jd_UZahgpdhxChq,20点抢1元秒
【用户关注】,1656650385998,2022-07-01 12:39:45,jd_UZahgpdhxChq
【主播推送商品】,1656650389756,2022-07-01 12:39:49,主播,34号
【主播推送商品】,1656650392330,2022-07-01 12:39:52,主播,34号
【实时弹幕】,1656650393837,2022-07-01 12:39:53,jd_176076jdn,20点抢1元秒
【主播推送商品】,1656650396062,2022-07-01 12:39:56,主播,34号
【主播推送商品】,1656650402212,2022-07-01 12:40:02,主播,34号
【实时弹幕】,1656650414250,2022-07-01 12:40:14,jd_FaWmspXpOfwx,20点抢1元秒
【主播推送商品】,1656650423830,2022-07-01 12:40:23,主播,34号
【实时弹幕】,1656650430851,2022-07-01 12:40:30,西青常乐,20点抢1元秒
【实时弹幕】,1656650433798,2022-07-01 12:40:33,u_f7gdxljnnfv6,20点抢1元秒
【主播推送商品】,1656650438156,2022-07-01 12:40:38,主播,34号
【主播推送商品】,1656650440043,2022-07-01 12:40:40,主播,34号
【主播推送商品】,1656650440868,2022-07-01 12:40:40,主播,34号
【主播推送商品】,1656650442160,2022-07-01 12:40:42,主播,34号
【实时弹幕】,1656650445258,2022-07-01 12:40:45,jd_Dorc01,20点抢1元秒
【主播推送商品】,1656650446901,2022-07-01 12:40:46,主播,34号
【主播发优惠券】,1656650450277,2022-07-01 12:40:50,主播,200
【实时弹幕】,1656650451865,2022-07-01 12:40:51,军-爷889,20点抢1元秒
【主播发优惠券】,1656650476052,2022-07-01 12:41:16,主播,200
【主播推送商品】,1656650480724,2022-07-01 12:41:20,主播,34号
【实时弹幕】,1656650496296,2022-07-01 12:41:36,jd181218uvy,20点抢1元秒
【实时弹幕】,1656650497568,2022-07-01 12:41:37,jd_134316hvk,20点抢1元秒
【主播推送商品】,1656650508370,2022-07-01 12:41:48,主播,24号
【实时弹幕】,1656650536289,2022-07-01 12:42:16,xieshengli2008,20点抢1元秒
【实时弹幕】,1656650541022,2022-07-01 12:42:21,jd_132300aio,20点抢1元秒
【主播推送商品】,1656650543454,2022-07-01 12:42:23,主播,24号
【主播推送商品】,1656650543649,2022-07-01 12:42:23,主播,24号
【主播推送商品】,1656650587174,2022-07-01 12:43:07,主播,24号
【主播推送商品】,1656650587797,2022-07-01 12:43:07,主播,24号
【主播推送商品】,1656650591554,2022-07-01 12:43:11,主播,24号
【实时弹幕】,1656650611292,2022-07-01 12:43:31,jd_131236zhg,20点抢1元秒
【主播推送商品】,1656650618625,2022-07-01 12:43:38,主播,24号
【主播推送商品】,1656650619326,2022-07-01 12:43:39,主播,24号
【主播推送商品】,1656650619701,2022-07-01 12:43:39,主播,24号
【主播发优惠券】,1656650623634,2022-07-01 12:43:43,主播,200
【用户关注】,1656650624982,2022-07-01 12:43:44,jd134398trx
【主播推送商品】,1656650626721,2022-07-01 12:43:46,主播,23号
【用户加入购物车】,1656650661441,2022-07-01 12:44:21,jd_aBOIRoLWkuqS,152号
【主播推送商品】,1656650665752,2022-07-01 12:44:25,主播,23号
【实时弹幕】,1656650666684,2022-07-01 12:44:26,jd_OazsvIaHxRKn,20点抢1元秒
【主播推送商品】,1656650668547,2022-07-01 12:44:28,主播,23号
【实时弹幕】,1656650677495,2022-07-01 12:44:37,jd_135203vxe,20点抢1元秒
【主播推送商品】,1656650678085,2022-07-01 12:44:38,主播,23号
【实时弹幕】,1656650679106,2022-07-01 12:44:39,jd_310249778,20点抢1元秒
【实时弹幕】,1656650680802,2022-07-01 12:44:40,zhouyugift_jd,20点抢1元秒
